"vnum"	"name"	"locale_name"	"rank"	"type"	"battle_type"	"level"	"scalepct"	"size"	"ai_flag"	"mount_capacity"	"setRaceFlag"	"setImmuneFlag"	"empire"	"folder"	"on_click"	"st"	"dx"	"ht"	"iq"	"damage_min"	"damage_max"	"max_hp"	"regen_cycle"	"regen_percent"	"gold_min"	"gold_max"	"exp"	"def"	"attack_speed"	"move_speed"	"aggressive_hp_pct"	"aggressive_sight"	"attack_range"	"drop_item"	"resurrection_vnum"	"enchant_curse"	"enchant_slow"	"enchant_poison"	"enchant_stun"	"enchant_critical"	"enchant_penetrate"	"resist_sword"	"resist_twohand"	"resist_dagger"	"resist_bell"	"resist_fan"	"resist_bow"	"resist_claw"	"resist_fire"	"resist_elect"	"resist_magic"	"resist_wind"	"resist_poison"	"resist_bleeding"	"dam_multiply"	"summon"	"drain_sp"	"mob_color"	"polymorph_item"	"skill_level0"	"skill_vnum0"	"skill_level1"	"skill_vnum1"	"skill_level2"	"skill_vnum2"	"skill_level3"	"skill_vnum3"	"skill_level4"	"skill_vnum4"	"sp_berserk"	"sp_stoneskin"	"sp_godspeed"	"sp_deathblow"	"sp_revive"
"101"	"ï¿½é°³"	"Wildhund"	"0"	"0"	"0"	"1"	"100"	""	""	"0"	"ANIMAL"	""	"0"	"stray_dog"	"0"	"3"	"6"	"5"	"2"	"20"	"24"	"126"	"6"	"7"	"234"	"351"	"15"	"4"	"100"	"100"	"0"	"2000"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"102"	"ï¿½ï¿½ï¿½"	"Wolf"	"0"	"0"	"0"	"3"	"100"	""	""	"0"	"ANIMAL"	""	"0"	"wolf"	"0"	"4"	"9"	"7"	"2"	"23"	"28"	"162"	"6"	"7"	"299"	"442"	"39"	"6"	"100"	"100"	"25"	"2000"	"175"	"30028"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"103"	"ï¿½Î¸ï¿½ï¿½ï¿½"	"Alpha-Wolf"	"0"	"0"	"0"	"4"	"100"	""	""	"0"	"ANIMAL"	""	"0"	"wolf"	"0"	"8"	"5"	"10"	"3"	"25"	"30"	"182"	"6"	"7"	"325"	"494"	"51"	"7"	"100"	"130"	"25"	"2000"	"175"	"30069"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"104"	"Çªï¿½ï¿½ï¿½ï¿½ï¿½"	"Blauwolf"	"0"	"0"	"0"	"6"	"100"	""	""	"0"	"ANIMAL"	""	"0"	"wolf"	"0"	"9"	"12"	"6"	"3"	"25"	"38"	"225"	"6"	"7"	"390"	"585"	"75"	"9"	"100"	"100"	"25"	"2000"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"105"	"Çªï¿½ï¿½ ï¿½Î¸ï¿½ï¿½ï¿½"	"Alpha-Blauwolf"	"0"	"0"	"0"	"9"	"100"	""	""	"0"	"ANIMAL"	""	"0"	"wolf"	"0"	"14"	"8"	"16"	"4"	"33"	"41"	"297"	"6"	"7"	"481"	"728"	"111"	"13"	"80"	"100"	"25"	"2000"	"175"	"30027"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"106"	"È¸ï¿½ï¿½ï¿½ï¿½"	"Grauwolf"	"0"	"0"	"0"	"13"	"100"	""	""	"0"	"ANIMAL"	""	"0"	"wolf"	"0"	"21"	"21"	"10"	"5"	"40"	"49"	"412"	"6"	"7"	"611"	"910"	"159"	"17"	"100"	"100"	"25"	"2000"	"175"	"30070"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"107"	"È¸ï¿½ï¿½ ï¿½Î¸ï¿½ï¿½ï¿½"	"Alpha-Grauwolf"	"1"	"0"	"0"	"16"	"100"	""	""	"0"	"ANIMAL"	""	"0"	"wolf"	"0"	"23"	"24"	"12"	"6"	"45"	"55"	"614"	"6"	"12"	"1040"	"1560"	"234"	"20"	"80"	"130"	"25"	"2000"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"108"	"ï¿½ï¿½ï¿½ï¿½ï¿½"	"Keiler"	"0"	"0"	"0"	"7"	"100"	""	""	"0"	"ANIMAL"	""	"0"	"wild_boar"	"0"	"14"	"7"	"10"	"3"	"30"	"37"	"248"	"6"	"7"	"416"	"637"	"87"	"11"	"80"	"100"	"30"	"2000"	"175"	"30004"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"109"	"ï¿½ï¿½ï¿½ ï¿½ï¿½ï¿½ï¿½ï¿½"	"Roter Keiler"	"1"	"0"	"0"	"10"	"100"	""	""	"0"	"ANIMAL"	""	"0"	"wild_boar"	"0"	"22"	"9"	"13"	"4"	"35"	"43"	"389"	"3"	"7"	"728"	"1092"	"148"	"14"	"80"	"100"	"30"	"2000"	"175"	"30003"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"110"	"ï¿½ï¿½"	"B�r"	"0"	"0"	"4"	"12"	"100"	""	""	"0"	"ANIMAL"	""	"0"	"bear"	"0"	"20"	"10"	"20"	"5"	"39"	"47"	"381"	"6"	"7"	"572"	"871"	"147"	"16"	"100"	"70"	"40"	"2000"	"175"	"30010"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
